MeterAmp,soundMeterAmp,noMeterAmp,soundNoMeterAmp,rhythm,harmony,version,channel
0.86225269,0.82431916,-0.492715823,-0.47103952,iso,M,iso1,eeg
0.482865558,0.837440412,-0.275923176,-0.478537378,iso,H,iso1,eeg
0.804465154,0.807772669,-0.459694374,-0.461584383,iso,M,iso2,eeg
0.693982922,0.834244682,-0.39656167,-0.476711247,iso,H,iso2,eeg
0.692159976,0.827014004,-0.395519986,-0.472579431,low,M,low1,eeg
0.767497575,0.839676187,-0.438570043,-0.479814964,low,H,low1,eeg
-0.02763719,0.216823446,0.01579268,-0.123899112,low,M,low2,eeg
-0.01979582,0.222174541,0.011311897,-0.126956881,low,H,low2,eeg
-0.00860198,-0.24142953,0.004915417,0.137959732,med,M,med1,eeg
-0.137372216,-0.250088043,0.078498409,0.142907453,med,H,med1,eeg
-0.155824146,-0.066688515,0.089042369,0.038107723,med,M,med2,eeg
0.51355794,-0.065412028,-0.29346168,0.037378302,med,H,med2,eeg
-0.331949981,-0.097451337,0.189685703,0.055686478,high,M,high1,eeg
-0.037912116,-0.09422286,0.021664066,0.053841634,high,H,high1,eeg
-0.05218328,-0.208630181,0.029819017,0.119217246,high,M,high2,eeg
-0.282283842,-0.20982516,0.161305052,0.119900091,high,H,high2,eeg
0.86225269,0.82431916,-0.492715823,-0.47103952,iso,M,iso1,grad
0.482865558,0.837440412,-0.275923176,-0.478537378,iso,H,iso1,grad
0.804465154,0.807772669,-0.459694374,-0.461584383,iso,M,iso2,grad
0.693982922,0.834244682,-0.39656167,-0.476711247,iso,H,iso2,grad
0.692159976,0.827014004,-0.395519986,-0.472579431,low,M,low1,grad
0.767497575,0.839676187,-0.438570043,-0.479814964,low,H,low1,grad
-0.02763719,0.216823446,0.01579268,-0.123899112,low,M,low2,grad
-0.01979582,0.222174541,0.011311897,-0.126956881,low,H,low2,grad
-0.00860198,-0.24142953,0.004915417,0.137959732,med,M,med1,grad
-0.137372216,-0.250088043,0.078498409,0.142907453,med,H,med1,grad
-0.155824146,-0.066688515,0.089042369,0.038107723,med,M,med2,grad
0.51355794,-0.065412028,-0.29346168,0.037378302,med,H,med2,grad
-0.331949981,-0.097451337,0.189685703,0.055686478,high,M,high1,grad
-0.037912116,-0.09422286,0.021664066,0.053841634,high,H,high1,grad
-0.05218328,-0.208630181,0.029819017,0.119217246,high,M,high2,grad
-0.282283842,-0.20982516,0.161305052,0.119900091,high,H,high2,grad
0.791138006,0.82431916,-0.45207886,-0.47103952,iso,M,iso1,mag
0.687032801,0.837440412,-0.392590172,-0.478537378,iso,H,iso1,mag
0.748386798,0.807772669,-0.427649599,-0.461584383,iso,M,iso2,mag
0.661562165,0.834244682,-0.378035523,-0.476711247,iso,H,iso2,mag
0.982821727,0.827014004,-0.561612416,-0.472579431,low,M,low1,mag
0.902949236,0.839676187,-0.515970992,-0.479814964,low,H,low1,mag
0.298176073,0.216823446,-0.170386327,-0.123899112,low,M,low2,mag
0.103007406,0.222174541,-0.058861375,-0.126956881,low,H,low2,mag
0.097508259,-0.24142953,-0.055719005,0.137959732,med,M,med1,mag
0.373860261,-0.250088043,-0.213634435,0.142907453,med,H,med1,mag
-0.125737379,-0.066688515,0.071849931,0.038107723,med,M,med2,mag
-0.061462504,-0.065412028,0.035121431,0.037378302,med,H,med2,mag
-0.198618961,-0.097451337,0.113496549,0.055686478,high,M,high1,mag
0.109381002,-0.09422286,-0.06250343,0.053841634,high,H,high1,mag
-0.218287879,-0.208630181,0.124735931,0.119217246,high,M,high2,mag
-0.201390317,-0.20982516,0.115080181,0.119900091,high,H,high2,mag
