trial_code,code,number,name,rhythm,harmony,condition,block,,,,,
0,0,91,MENTRONOME 1 LH,iso,low,wpb,practice,,,,,
0,0,56,HIGH RHYTHM 2 LH,high,low,pwb,practice,,,,,
0,0,10,LOW RHYTHM 2 LH,low,low,bpw,practice,,,,,
0,0,37,MEDIUM 1 LH,medium,low,wbp,practice,,,,,
1,1,95,METRONOME 1 MH,iso,medium,wpb,main,,,,,
2,2,98,METRONOME 1 HH,iso,high,wpb,main,,,,,
3,3,94,METRONOME 2 MH,iso,medium,wbp,main,,,,,
4,4,97,METRONOME 2 HH,iso,high,wbp,main,,,,,
5,5,5,LOW RHYTHM 1 MH,low,medium,wpb,main,,,,,
6,6,7,LOW RHYTHM 1 HH,low,high,wpb,main,,,,,
7,7,24,LOW RHYTHM 3 MH,low,medium,wbp,main,,,,,
8,8,26,LOW RHYTHM 3 HH,low,high,wbp,main,,,,,
9,9,33,MEDIUM RHYTHM 1 MH,medium,medium,wpb,main,,,,,
10,10,35,MEDIUM RHYTHM 1 HH,medium,high,wpb,main,,,,,
11,11,50,MEDIUM RHYTHM 3 MH,medium,medium,wbp,main,,,,,
12,12,52,MEDIUM RHYTHM 3 HH,medium,high,wbp,main,,,,,
13,13,59,HIGH RHYTHM 1 MH,high,medium,wpb,main,,,,,
14,14,61,HIGH RHYTHM 1 HH,high,high,wpb,main,,,,,
15,15,69,HIGH RHYTHM 2 MH,high,medium,wbp,main,,,,,
16,16,71,HIGH RHYTHM 2 HH,high,high,wbp,main,,,,,
17,1,95,METRONOME 1 MH,iso,medium,pwb,main,,,,,
18,2,98,METRONOME 1 HH,iso,high,pwb,main,,,,,
19,3,94,METRONOME 2 MH,iso,medium,pbw,main,,,,,
20,4,97,METRONOME 2 HH,iso,high,pbw,main,,,,,
21,5,5,LOW RHYTHM 1 MH,low,medium,pwb,main,,,,,
22,6,7,LOW RHYTHM 1 HH,low,high,pwb,main,,,,,
23,7,24,LOW RHYTHM 3 MH,low,medium,pbw,main,,,,,
24,8,26,LOW RHYTHM 3 HH,low,high,pbw,main,,,,,
25,9,33,MEDIUM RHYTHM 1 MH,medium,medium,pwb,main,,,,,
26,10,35,MEDIUM RHYTHM 1 HH,medium,high,pwb,main,,,,,
27,11,50,MEDIUM RHYTHM 3 MH,medium,medium,pbw,main,,,,,
28,12,52,MEDIUM RHYTHM 3 HH,medium,high,pbw,main,,,,,
29,13,59,HIGH RHYTHM 1 MH,high,medium,pwb,main,,,,,
30,14,61,HIGH RHYTHM 1 HH,high,high,pwb,main,,,,,
31,15,69,HIGH RHYTHM 2 MH,high,medium,pbw,main,,,,,
32,16,71,HIGH RHYTHM 2 HH,high,high,pbw,main,,,,,
33,1,95,METRONOME 1 MH,iso,medium,bwp,main,,,,,
34,2,98,METRONOME 1 HH,iso,high,bwp,main,,,,,
35,3,94,METRONOME 2 MH,iso,medium,bpw,main,,,,,
36,4,97,METRONOME 2 HH,iso,high,bpw,main,,,,,
37,5,5,LOW RHYTHM 1 MH,low,medium,bwp,main,,,,,
38,6,7,LOW RHYTHM 1 HH,low,high,bwp,main,,,,,
39,7,24,LOW RHYTHM 3 MH,low,medium,bpw,main,,,,,
40,8,26,LOW RHYTHM 3 HH,low,high,bpw,main,,,,,
41,9,33,MEDIUM RHYTHM 1 MH,medium,medium,bwp,main,,,,,
42,10,35,MEDIUM RHYTHM 1 HH,medium,high,bwp,main,,,,,
43,11,50,MEDIUM RHYTHM 3 MH,medium,medium,bpw,main,,,,,
44,12,52,MEDIUM RHYTHM 3 HH,medium,high,bpw,main,,,,,
45,13,59,HIGH RHYTHM 1 MH,high,medium,bwp,main,,,,,
46,14,61,HIGH RHYTHM 1 HH,high,high,bwp,main,,,,,
47,15,69,HIGH RHYTHM 2 MH,high,medium,bpw,main,,,,,
48,16,71,HIGH RHYTHM 2 HH,high,high,bpw,main,,,,,
