trial_code,code,number,name,rhythm,harmony,condition,block
0,0,421,LR7 LH4,low,low,wanting_to_move,practice
0,0,449,Mariato Clave MR5 MH1,medium,medium,pleasure,practice
0,0,423,LR7 MH2,low,medium,wanting_to_move,practice
0,0,425,LR7 HH3,low,high,pleasure,practice
1,1,495,METRONOME 1 MH,iso,medium,wanting_to_move,main
2,2,498,METRONOME 1 HH,iso,high,wanting_to_move,main
3,3,494,METRONOME 2 MH,iso,medium,wanting_to_move,main
4,4,497,METRONOME 2 HH,iso,high,wanting_to_move,main
5,5,405,LOW RHYTHM 1 MH,low,medium,wanting_to_move,main
6,6,407,LOW RHYTHM 1 HH,low,high,wanting_to_move,main
7,7,424,LOW RHYTHM 3 MH,low,medium,wanting_to_move,main
8,8,426,LOW RHYTHM 3 HH,low,high,wanting_to_move,main
9,9,433,MEDIUM RHYTHM 1 MH,medium,medium,wanting_to_move,main
10,10,435,MEDIUM RHYTHM 1 HH,medium,high,wanting_to_move,main
11,11,450,MEDIUM RHYTHM 3 MH,medium,medium,wanting_to_move,main
12,12,452,MEDIUM RHYTHM 3 HH,medium,high,wanting_to_move,main
13,13,459,HIGH RHYTHM 1 MH,high,medium,wanting_to_move,main
14,14,461,HIGH RHYTHM 1 HH,high,high,wanting_to_move,main
15,15,469,HIGH RHYTHM 2 MH,high,medium,wanting_to_move,main
16,16,471,HIGH RHYTHM 2 HH,high,high,wanting_to_move,main
17,1,495,METRONOME 1 MH,iso,medium,wanting_to_move,main
18,2,498,METRONOME 1 HH,iso,high,wanting_to_move,main
19,3,494,METRONOME 2 MH,iso,medium,wanting_to_move,main
20,4,497,METRONOME 2 HH,iso,high,wanting_to_move,main
21,5,405,LOW RHYTHM 1 MH,low,medium,wanting_to_move,main
22,6,407,LOW RHYTHM 1 HH,low,high,wanting_to_move,main
23,7,424,LOW RHYTHM 3 MH,low,medium,wanting_to_move,main
24,8,426,LOW RHYTHM 3 HH,low,high,wanting_to_move,main
25,9,433,MEDIUM RHYTHM 1 MH,medium,medium,wanting_to_move,main
26,10,435,MEDIUM RHYTHM 1 HH,medium,high,wanting_to_move,main
27,11,450,MEDIUM RHYTHM 3 MH,medium,medium,wanting_to_move,main
28,12,452,MEDIUM RHYTHM 3 HH,medium,high,wanting_to_move,main
29,13,459,HIGH RHYTHM 1 MH,high,medium,wanting_to_move,main
30,14,461,HIGH RHYTHM 1 HH,high,high,wanting_to_move,main
31,15,469,HIGH RHYTHM 2 MH,high,medium,wanting_to_move,main
32,16,471,HIGH RHYTHM 2 HH,high,high,wanting_to_move,main
1,1,495,METRONOME 1 MH,iso,medium,pleasure,main
2,2,498,METRONOME 1 HH,iso,high,pleasure,main
3,3,494,METRONOME 2 MH,iso,medium,pleasure,main
4,4,497,METRONOME 2 HH,iso,high,pleasure,main
5,5,405,LOW RHYTHM 1 MH,low,medium,pleasure,main
6,6,407,LOW RHYTHM 1 HH,low,high,pleasure,main
7,7,424,LOW RHYTHM 3 MH,low,medium,pleasure,main
8,8,426,LOW RHYTHM 3 HH,low,high,pleasure,main
9,9,433,MEDIUM RHYTHM 1 MH,medium,medium,pleasure,main
10,10,435,MEDIUM RHYTHM 1 HH,medium,high,pleasure,main
11,11,450,MEDIUM RHYTHM 3 MH,medium,medium,pleasure,main
12,12,452,MEDIUM RHYTHM 3 HH,medium,high,pleasure,main
13,13,459,HIGH RHYTHM 1 MH,high,medium,pleasure,main
14,14,461,HIGH RHYTHM 1 HH,high,high,pleasure,main
15,15,469,HIGH RHYTHM 2 MH,high,medium,pleasure,main
16,16,471,HIGH RHYTHM 2 HH,high,high,pleasure,main
17,1,495,METRONOME 1 MH,iso,medium,pleasure,main
18,2,498,METRONOME 1 HH,iso,high,pleasure,main
19,3,494,METRONOME 2 MH,iso,medium,pleasure,main
20,4,497,METRONOME 2 HH,iso,high,pleasure,main
21,5,405,LOW RHYTHM 1 MH,low,medium,pleasure,main
22,6,407,LOW RHYTHM 1 HH,low,high,pleasure,main
23,7,424,LOW RHYTHM 3 MH,low,medium,pleasure,main
24,8,426,LOW RHYTHM 3 HH,low,high,pleasure,main
25,9,433,MEDIUM RHYTHM 1 MH,medium,medium,pleasure,main
26,10,435,MEDIUM RHYTHM 1 HH,medium,high,pleasure,main
27,11,450,MEDIUM RHYTHM 3 MH,medium,medium,pleasure,main
28,12,452,MEDIUM RHYTHM 3 HH,medium,high,pleasure,main
29,13,459,HIGH RHYTHM 1 MH,high,medium,pleasure,main
30,14,461,HIGH RHYTHM 1 HH,high,high,pleasure,main
31,15,469,HIGH RHYTHM 2 MH,high,medium,pleasure,main
32,16,471,HIGH RHYTHM 2 HH,high,high,pleasure,main
